Date,Oil Price ($/barrel)
1970-01-01,138.48044185751806
1971-01-01,140.0
1972-01-01,134.40694116963843
1973-01-01,127.77975871826804
1974-01-01,120.67948084598365
1975-01-01,115.97986411791574
1976-01-01,105.33297046387369
1977-01-01,95.83831090746102
1978-01-01,93.91793672093439
1979-01-01,82.60753179383698
1980-01-01,81.61531078791774
1981-01-01,71.69432962250374
1982-01-01,63.65271896676661
1983-01-01,56.96543783605519
1984-01-01,46.938569281531215
1985-01-01,39.92869709706157
1986-01-01,33.067463617915315
1987-01-01,21.64344113183173
1988-01-01,14.259115997923065
1989-01-01,10.653709229096973
1990-01-01,10.0
1991-01-01,13.90151820590936
1992-01-01,18.53120163263533
1993-01-01,18.5515469102888
1994-01-01,25.00803275393363
1995-01-01,31.38655170945461
1996-01-01,36.33555990212704
1997-01-01,39.02108721166108
1998-01-01,50.938133885964405
1999-01-01,55.261048984010536
2000-01-01,58.549105090537026
2001-01-01,60.141177763446684
2002-01-01,65.36422195299217
2003-01-01,76.45946519463926
2004-01-01,86.23316168795108
2005-01-01,90.75613417525595
2006-01-01,100.25294942819545
2007-01-01,107.38063935832906
2008-01-01,113.24352050814579
2009-01-01,116.73602113944442
2010-01-01,125.09219907359594
