Date,Rate of Inflation (%)
1990-01-01,-5.0
1991-01-01,-4.101261873441462
1992-01-01,-2.1744521434667585
1993-01-01,-0.9273587599334459
1994-01-01,0.5717985837979009
1995-01-01,2.1252750940042464
1996-01-01,4.058866042984617
1997-01-01,16.76054299693057
1998-01-01,30.0
1999-01-01,24.119330665522714
2000-01-01,10.162727503817598
2001-01-01,12.679986778434703
2002-01-01,14.348819026956043
2003-01-01,16.151357890262094
2004-01-01,18.042801809547566
2005-01-01,19.91348799918686
2006-01-01,19.88602797095713
2007-01-01,19.901759676041905
2008-01-01,20.12170114272806
2009-01-01,20.356906628287295
2010-01-01,20.263660738176757
2011-01-01,20.381724187705984
2012-01-01,20.46165878769784
2013-01-01,20.669294501658932
2014-01-01,20.637201387050897
2015-01-01,21.014724889361222
2016-01-01,21.006093431316454
2017-01-01,21.387949736463085
2018-01-01,21.52079732042829
2019-01-01,21.22276982026861
2020-01-01,21.17037949925595
