Date,Mortgage Rate (%)
1960-01-01,19.85367623620166
1961-01-01,19.68742937140349
1962-01-01,19.665648754975933
1963-01-01,19.65983354681947
1964-01-01,19.53601519227295
1965-01-01,19.69809767454047
1966-01-01,19.663473813386236
1967-01-01,19.51308932226348
1968-01-01,19.460458879603518
1969-01-01,19.39088733066886
1970-01-01,19.53033627898326
1971-01-01,19.547411690464354
1972-01-01,19.595677240581978
1973-01-01,19.440996369431573
1974-01-01,19.542299974276307
1975-01-01,19.66666762737663
1976-01-01,19.536015565712244
1977-01-01,19.691294983376814
1978-01-01,19.739362923429876
1979-01-01,19.671117372755862
1980-01-01,19.584397965721887
1981-01-01,19.678527059483145
1982-01-01,19.86093471843616
1983-01-01,19.960269483174493
1984-01-01,19.95301791167278
1985-01-01,20.0
1986-01-01,19.771637120846346
1987-01-01,19.233457570478436
1988-01-01,18.69739758702518
1989-01-01,18.268188620955428
1990-01-01,17.626978520770493
1991-01-01,17.262760759114034
1992-01-01,16.88965740347978
1993-01-01,16.331905476945735
1994-01-01,15.911517317994452
1995-01-01,15.577993486740338
1996-01-01,15.04445562186326
1997-01-01,14.723020634876884
1998-01-01,14.221485655388797
1999-01-01,13.590407193930332
2000-01-01,13.309471469838709
2001-01-01,12.555498106371543
2002-01-01,12.194883291365032
2003-01-01,11.870647631621168
2004-01-01,11.345548202780856
2005-01-01,10.990517213042226
2006-01-01,10.648499455003153
2007-01-01,10.268919542519143
2008-01-01,8.152803978633347
2009-01-01,4.52227237573404
2010-01-01,1.0
