Date,Economic Growth Rate (%)
1980-01-01,5.806518613863513
1981-01-01,6.257609492810474
1982-01-01,7.034091752872836
1983-01-01,7.834409380521166
1984-01-01,8.611732977261186
1985-01-01,9.267810984265017
1986-01-01,9.886764315736912
1987-01-01,10.503483078024205
1988-01-01,11.177218777624226
1989-01-01,12.108682881174943
1990-01-01,13.28483298709492
1991-01-01,14.105393005003968
1992-01-01,14.665087937949803
1993-01-01,15.372906199251243
1994-01-01,16.00342016706369
1995-01-01,16.945585671207894
1996-01-01,17.612629852119504
1997-01-01,18.25896992624744
1998-01-01,18.83183688266788
1999-01-01,19.322922999820435
2000-01-01,20.0
2001-01-01,19.5529742883664
2002-01-01,18.868622608696075
2003-01-01,18.096389332817928
2004-01-01,17.176886906782137
2005-01-01,16.256503506672132
2006-01-01,15.666762369806293
2007-01-01,14.946622015806145
2008-01-01,14.255686854944575
2009-01-01,13.510263022821356
2010-01-01,12.562172643362103
2011-01-01,11.797316762621268
2012-01-01,11.308448577640405
2013-01-01,10.434166738751621
2014-01-01,9.605083504123945
2015-01-01,9.04157014315687
2016-01-01,8.43278028792965
2017-01-01,7.674470109856488
2018-01-01,6.868922581434942
2019-01-01,0.661361220913391
2020-01-01,-5.0
