Date,Stock Index
1990-01-01,3993.0900427539523
1991-01-01,1332.7106139525843
1992-01-01,790.0679283449794
1993-01-01,1251.210790022389
1994-01-01,1586.3265350828979
1995-01-01,1950.324028525096
1996-01-01,2417.8106787036018
1997-01-01,2797.355939588478
1998-01-01,3215.419423205484
1999-01-01,3614.765248002519
2000-01-01,4000.0
2001-01-01,3597.1673970368306
2002-01-01,3179.8818558610074
2003-01-01,2785.562253361625
2004-01-01,2377.1241816232096
2005-01-01,2007.6332451223902
2006-01-01,1673.9904405161851
2007-01-01,1195.0460280389148
2008-01-01,840.0285485506416
2009-01-01,470.56688438559604
2010-01-01,50.0
