Date,Rate of Inflation (%)
1990-01-01,-5.0
1991-01-01,-2.684639352777731
1992-01-01,0.7454082475087551
1993-01-01,4.414689579919727
1994-01-01,7.9937483016110935
1995-01-01,10.931884069731742
1996-01-01,13.882066728910896
1997-01-01,17.2139407452227
1998-01-01,20.850039308943323
1999-01-01,25.8170662714124
2000-01-01,29.160921634054816
2001-01-01,29.666881622712282
2002-01-01,29.680876120754355
2003-01-01,30.0
2004-01-01,29.7533783735496
2005-01-01,29.34833111243865
2006-01-01,29.379396170629597
2007-01-01,29.467636314570086
2008-01-01,29.48424771729826
2009-01-01,29.092349183922643
2010-01-01,28.94111480763449
