Date,Krakozhian Ducats per USD
1990-01-01,180.0
1991-01-01,179.79721726274778
1992-01-01,175.93710038567656
1993-01-01,172.89968392368593
1994-01-01,170.09209900220947
1995-01-01,167.0475422333547
1996-01-01,163.96476297494036
1997-01-01,160.8199914937321
1998-01-01,158.26968332659334
1999-01-01,154.7798351625625
2000-01-01,152.1515418783801
2001-01-01,147.17412589146892
2002-01-01,144.43354599169768
2003-01-01,138.90971170560528
2004-01-01,135.18107543254868
2005-01-01,131.02130199894677
2006-01-01,128.0552076809551
2007-01-01,123.89296953573515
2008-01-01,119.72771143401343
2009-01-01,117.16150684193929
2010-01-01,113.73975638827608
2011-01-01,110.96462128176272
2012-01-01,106.64944658410268
2013-01-01,100.99642722079385
2014-01-01,97.81245188671532
2015-01-01,95.71375141566179
2016-01-01,91.61081580636768
2017-01-01,88.21057525822754
2018-01-01,85.67584558684239
2019-01-01,83.05923022658291
2020-01-01,80.0
